request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_27,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_28,400.0,affordable_with_plan,installments,2024-06-07:651.2|2024-07-07:651.2,2024-07-07,none,Initial liquidity covers first installment; balance scheduled for next pay period.
request_29,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_30,600.0,affordable_with_plan,installments,2026-04-06:387.6|2026-05-06:387.6,2026-05-06,none,Initial liquidity covers first installment; balance scheduled for next pay period.
request_31,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_32,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_33,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_34,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_35,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_36,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_37,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_38,971.3,affordable_now,full_payment,none,2025-08-07,none,User has enough clear balance to pay 971.3 while maintaining the minimum floor of 400.0.
request_39,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_40,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_41,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_42,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_43,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_44,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_45,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_46,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_47,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_48,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_49,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_50,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_51,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_52,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_53,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_54,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_55,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_56,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_57,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_58,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_59,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_60,199.89,affordable_now,full_payment,none,2026-01-06,none,User has enough clear balance to pay 199.89 while maintaining the minimum floor of 400.0.
request_61,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_62,200.0,affordable_with_plan,installments,2025-08-05:202.12|2025-09-04:202.12,2025-09-04,none,Initial liquidity covers first installment; balance scheduled for next pay period.
request_63,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_64,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_65,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_66,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_67,300.0,affordable_later,wait,none,2024-10-20,reduce_to:dining:50,Postponing purchase allows accumulation of sufficient reserves without breaching safe limits.
request_68,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_69,529.1,affordable_now,full_payment,none,2026-01-04,none,User has enough clear balance to pay 529.1 while maintaining the minimum floor of 700.0.
request_70,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
request_71,0.0,not_affordable,not_recommended,none,none,stop:subscriptions,Current available liquidity is below minimum required cash reserves.
